Second Largest Eigenvalue: Normalized Laplacian, 	Largest Eigenvalue: Weighted Graph, V2	
1.587196730236128062e+00,3.211302800794231871e+02,5.500000000000000000e+02
1.584824760077750971e+00,3.239288760050341693e+02,5.550000000000000000e+02
1.582477467375349223e+00,3.265317744497571084e+02,5.600000000000000000e+02
1.580155151662037794e+00,3.289502287558570401e+02,5.650000000000000000e+02
1.577858114072998141e+00,3.312165359467558119e+02,5.700000000000000000e+02
1.575586657246326183e+00,3.333256916094998132e+02,5.750000000000000000e+02
1.573341085218912916e+00,3.353117706667759990e+02,5.800000000000000000e+02
1.571121703317252427e+00,3.371720633280737616e+02,5.850000000000000000e+02
1.568928818043172413e+00,3.389408977221628447e+02,5.900000000000000000e+02
1.566762736954362190e+00,3.405976654083846142e+02,5.950000000000000000e+02
1.564606057353264967e+00,3.421785031964305404e+02,6.000000000000000000e+02
1.562476666182695428e+00,3.436752949618372668e+02,6.050000000000000000e+02
1.560374874525973565e+00,3.450936030265559680e+02,6.100000000000000000e+02
1.558283082315773171e+00,3.464381892754904584e+02,6.150000000000000000e+02
1.556219381179763994e+00,3.477269283818534973e+02,6.200000000000000000e+02
1.554184084939290944e+00,3.489589915810714729e+02,6.250000000000000000e+02
1.552159397275822084e+00,3.501463507332880454e+02,6.300000000000000000e+02
1.550163612028277127e+00,3.512704711163817706e+02,6.350000000000000000e+02
1.548178802946629462e+00,3.523541421933886681e+02,6.400000000000000000e+02
1.546223397521563570e+00,3.533860271551845358e+02,6.450000000000000000e+02
1.544297712653655452e+00,3.543832800227058328e+02,6.500000000000000000e+02
1.542365190623438354e+00,3.553404888536668409e+02,6.550000000000000000e+02
1.540481267020421763e+00,3.562690516475541926e+02,6.600000000000000000e+02
1.538590753726795546e+00,3.571625211295026929e+02,6.650000000000000000e+02
1.536730845023835279e+00,3.580269913913411415e+02,6.700000000000000000e+02
1.534883164812653078e+00,3.588436108418752042e+02,6.750000000000000000e+02
1.533066599966647070e+00,3.596497865281520490e+02,6.800000000000000000e+02
1.531262646908289948e+00,3.604198546370240024e+02,6.850000000000000000e+02
1.529471434545812469e+00,3.611794861670682621e+02,6.900000000000000000e+02
1.527693092621080329e+00,3.619026451450309310e+02,6.950000000000000000e+02
1.525946765366990254e+00,3.626149000435054859e+02,7.000000000000000000e+02
1.524194620346298823e+00,3.632906873874679263e+02,7.050000000000000000e+02
1.522474879778923595e+00,3.639553264970220425e+02,7.100000000000000000e+02
1.520768662651661440e+00,3.646021141469508393e+02,7.150000000000000000e+02
1.519095366960639071e+00,3.652185891704999676e+02,7.200000000000000000e+02
1.517416659955978853e+00,3.658293693172701069e+02,7.250000000000000000e+02
1.515751878329105296e+00,3.664099109927860241e+02,7.300000000000000000e+02
1.514120608417907743e+00,3.669910829352368182e+02,7.350000000000000000e+02
1.512503658523526973e+00,3.675486676954305949e+02,7.400000000000000000e+02
1.510881590977791511e+00,3.680934876771694917e+02,7.450000000000000000e+02
1.509293628469863924e+00,3.686265863885898852e+02,7.500000000000000000e+02
1.507700699231350194e+00,3.691414618858488552e+02,7.550000000000000000e+02
1.506142272488672829e+00,3.696446242355548293e+02,7.600000000000000000e+02
1.504579032461714982e+00,3.701484783814969433e+02,7.650000000000000000e+02
1.503050693270569171e+00,3.706266936939290417e+02,7.700000000000000000e+02
1.501517696597038487e+00,3.710934698516659864e+02,7.750000000000000000e+02
1.500019999600016085e+00,3.715482670272633641e+02,7.800000000000000000e+02
1.498517803092326517e+00,3.719968270964261592e+02,7.850000000000000000e+02
1.497031186144289983e+00,3.724456931487181350e+02,7.900000000000000000e+02
1.495560288965932516e+00,3.728637156321415205e+02,7.950000000000000000e+02
1.494105251945373691e+00,3.732820655655824567e+02,8.000000000000000000e+02
1.492666215606469393e+00,3.737006852882288968e+02,8.050000000000000000e+02
1.491222963632605758e+00,3.741007220221434864e+02,8.100000000000000000e+02
1.489795875850338680e+00,3.744941272913967509e+02,8.150000000000000000e+02
1.488405569173815168e+00,3.748822756257309834e+02,8.200000000000000000e+02
1.486990759665929307e+00,3.752520223185317718e+02,8.250000000000000000e+02
1.485613014652613639e+00,3.756148286161029546e+02,8.300000000000000000e+02
1.484252000512129355e+00,3.759846851768667193e+02,8.350000000000000000e+02
1.482887150377809826e+00,3.763480409136026310e+02,8.400000000000000000e+02
1.481539198819784353e+00,3.766924343906771355e+02,8.450000000000000000e+02
1.480187463393204172e+00,3.770250098130798619e+02,8.500000000000000000e+02
1.478873678541639425e+00,3.773574901714472389e+02,8.550000000000000000e+02
1.477556279405894069e+00,3.776902999826450014e+02,8.600000000000000000e+02
1.476235235991625538e+00,3.780233805929929076e+02,8.650000000000000000e+02
1.474952629216850886e+00,3.783372480856450011e+02,8.700000000000000000e+02
