Second largest eigenvalues, Velocity ($V_2$)
1.587196730236128062e+00,5.500000000000000000e+02
1.584824760077750971e+00,5.550000000000000000e+02
1.582477467375349223e+00,5.600000000000000000e+02
1.580155151662037794e+00,5.650000000000000000e+02
1.577858114072998141e+00,5.700000000000000000e+02
1.575586657246326183e+00,5.750000000000000000e+02
1.573341085218912916e+00,5.800000000000000000e+02
1.571121703317252427e+00,5.850000000000000000e+02
1.568928818043172413e+00,5.900000000000000000e+02
1.566762736954362190e+00,5.950000000000000000e+02
1.564606057353264967e+00,6.000000000000000000e+02
1.562476666182695428e+00,6.050000000000000000e+02
1.560374874525973565e+00,6.100000000000000000e+02
1.558283082315773171e+00,6.150000000000000000e+02
1.556219381179763994e+00,6.200000000000000000e+02
1.554184084939290944e+00,6.250000000000000000e+02
1.552159397275822084e+00,6.300000000000000000e+02
1.550163612028277127e+00,6.350000000000000000e+02
1.548178802946629462e+00,6.400000000000000000e+02
1.546223397521563570e+00,6.450000000000000000e+02
1.544297712653655452e+00,6.500000000000000000e+02
1.542365190623438354e+00,6.550000000000000000e+02
1.540481267020421763e+00,6.600000000000000000e+02
1.538590753726795546e+00,6.650000000000000000e+02
1.536730845023835279e+00,6.700000000000000000e+02
1.534883164812653078e+00,6.750000000000000000e+02
1.533066599966647070e+00,6.800000000000000000e+02
1.531262646908289948e+00,6.850000000000000000e+02
1.529471434545812469e+00,6.900000000000000000e+02
1.527693092621080329e+00,6.950000000000000000e+02
1.525946765366990254e+00,7.000000000000000000e+02
1.524194620346298823e+00,7.050000000000000000e+02
1.522474879778923595e+00,7.100000000000000000e+02
1.520768662651661440e+00,7.150000000000000000e+02
1.519095366960639071e+00,7.200000000000000000e+02
1.517416659955978853e+00,7.250000000000000000e+02
1.515751878329105296e+00,7.300000000000000000e+02
1.514120608417907743e+00,7.350000000000000000e+02
1.512503658523526973e+00,7.400000000000000000e+02
1.510881590977791511e+00,7.450000000000000000e+02
1.509293628469863924e+00,7.500000000000000000e+02
1.507700699231350194e+00,7.550000000000000000e+02
1.506142272488672829e+00,7.600000000000000000e+02
1.504579032461714982e+00,7.650000000000000000e+02
1.503050693270569171e+00,7.700000000000000000e+02
1.501517696597038487e+00,7.750000000000000000e+02
1.500019999600016085e+00,7.800000000000000000e+02
1.498517803092326517e+00,7.850000000000000000e+02
1.497031186144289983e+00,7.900000000000000000e+02
1.495560288965932516e+00,7.950000000000000000e+02
1.494105251945373691e+00,8.000000000000000000e+02
1.492666215606469393e+00,8.050000000000000000e+02
1.491222963632605758e+00,8.100000000000000000e+02
1.489795875850338680e+00,8.150000000000000000e+02
1.488405569173815168e+00,8.200000000000000000e+02
1.486990759665929307e+00,8.250000000000000000e+02
1.485613014652613639e+00,8.300000000000000000e+02
1.484252000512129355e+00,8.350000000000000000e+02
1.482887150377809826e+00,8.400000000000000000e+02
1.481539198819784353e+00,8.450000000000000000e+02
1.480187463393204172e+00,8.500000000000000000e+02
1.478873678541639425e+00,8.550000000000000000e+02
1.477556279405894069e+00,8.600000000000000000e+02
1.476235235991625538e+00,8.650000000000000000e+02
1.474952629216850886e+00,8.700000000000000000e+02
1.473666549378358059e+00,8.750000000000000000e+02
1.472398137168215992e+00,8.800000000000000000e+02
1.471126310027364825e+00,8.850000000000000000e+02
1.469872323083623034e+00,8.900000000000000000e+02
1.468636319548536573e+00,8.950000000000000000e+02
1.467397047487462913e+00,9.000000000000000000e+02
1.466175932454691688e+00,9.050000000000000000e+02
1.464951610385425873e+00,9.100000000000000000e+02
1.463745619925406416e+00,9.150000000000000000e+02
1.462558104458240971e+00,9.200000000000000000e+02
1.461367532451081974e+00,9.250000000000000000e+02
1.460195610583151948e+00,9.300000000000000000e+02
1.459020696701139652e+00,9.350000000000000000e+02
1.457864608809198881e+00,9.400000000000000000e+02
1.456705594447888164e+00,9.450000000000000000e+02
1.455565582545478076e+00,9.500000000000000000e+02
1.454444716109672964e+00,9.550000000000000000e+02
1.453321078265725763e+00,9.600000000000000000e+02
1.452194648354002693e+00,9.650000000000000000e+02
1.451087574645989253e+00,9.700000000000000000e+02
1.450000000000000178e+00,9.750000000000000000e+02
1.448909790492477478e+00,9.800000000000000000e+02
1.447816926879721633e+00,9.850000000000000000e+02
1.446743774438995933e+00,9.900000000000000000e+02
1.445668037893676150e+00,9.950000000000000000e+02
1.444612190566115562e+00,1.000000000000000000e+03
1.443553829878631456e+00,1.005000000000000000e+03
1.442515536450417857e+00,1.010000000000000000e+03
1.441474801092881952e+00,1.015000000000000000e+03
1.440454310910904479e+00,1.020000000000000000e+03
1.439431450854397054e+00,1.025000000000000000e+03
1.438406204335660465e+00,1.030000000000000000e+03
1.437401417464553077e+00,1.035000000000000000e+03
1.436394317103236284e+00,1.040000000000000000e+03
1.435407854775266889e+00,1.045000000000000000e+03
1.434419152432302447e+00,1.050000000000000000e+03
1.433428194745105078e+00,1.055000000000000000e+03
1.432458090455016375e+00,1.060000000000000000e+03
1.431485805096760711e+00,1.065000000000000000e+03
1.430534551458998216e+00,1.070000000000000000e+03
1.429581191394594830e+00,1.075000000000000000e+03
1.428625710848054009e+00,1.080000000000000000e+03
1.427691477586355173e+00,1.085000000000000000e+03
1.426755199148176834e+00,1.090000000000000000e+03
1.425816862042826871e+00,1.095000000000000000e+03
1.424899988232525061e+00,1.100000000000000000e+03
1.423981131655642773e+00,1.105000000000000000e+03
1.423060279392902583e+00,1.110000000000000000e+03
1.422161106687954479e+00,1.115000000000000000e+03
1.421260014717749876e+00,1.120000000000000000e+03
1.420356991139674951e+00,1.125000000000000000e+03
1.419475863429590312e+00,1.130000000000000000e+03
1.418592880971474957e+00,1.135000000000000000e+03
1.417708032003216045e+00,1.140000000000000000e+03
1.416845295043616337e+00,1.145000000000000000e+03
1.415980768786251343e+00,1.150000000000000000e+03
1.415114442051827348e+00,1.155000000000000000e+03
1.414270443068293526e+00,1.160000000000000000e+03
1.413400532171887658e+00,1.165000000000000000e+03
1.412577265490963629e+00,1.170000000000000000e+03
1.411728065596697723e+00,1.175000000000000000e+03
