Second largest eigenvalues, Velocity ($V_2$) No Noise
1.548178802946629462e+00,6.400000000000000000e+02
1.386652298583624265e+00,1.340000000000000000e+03
1.340558365041884414e+00,1.745000000000000000e+03
1.404400791294972084e+00,1.220000000000000000e+03
1.423981131655642773e+00,1.105000000000000000e+03
1.466175932454691688e+00,9.050000000000000000e+02
1.329818131702916073e+00,1.865000000000000000e+03
1.342957723342104615e+00,1.720000000000000000e+03
1.355105618091293929e+00,1.600000000000000000e+03
1.323202722760807415e+00,1.945000000000000000e+03
1.330665994622973303e+00,1.855000000000000000e+03
1.520768662651661440e+00,7.150000000000000000e+02
1.452194648354002693e+00,9.650000000000000000e+02
1.412577265490963629e+00,1.170000000000000000e+03
1.480187463393204172e+00,8.500000000000000000e+02
1.369837802286353767e+00,1.470000000000000000e+03
1.326465924714968825e+00,1.905000000000000000e+03
1.542365190623438354e+00,6.550000000000000000e+02
1.527693092621080329e+00,6.950000000000000000e+02
1.400499687890014888e+00,1.245000000000000000e+03
1.552159397275822084e+00,6.300000000000000000e+02
1.485613014652613639e+00,8.300000000000000000e+02
1.461367532451081974e+00,9.250000000000000000e+02
1.349885695620725690e+00,1.650000000000000000e+03
1.361690475406804213e+00,1.540000000000000000e+03
1.389435488881020753e+00,1.320000000000000000e+03
1.333736422944814315e+00,1.820000000000000000e+03
1.425816862042826871e+00,1.095000000000000000e+03
1.414270443068293526e+00,1.160000000000000000e+03
1.577858114072998141e+00,5.700000000000000000e+02
1.438406204335660465e+00,1.030000000000000000e+03
1.385953365058526954e+00,1.345000000000000000e+03
1.478873678541639425e+00,8.550000000000000000e+02
1.426755199148176834e+00,1.090000000000000000e+03
1.471126310027364825e+00,8.850000000000000000e+02
1.491222963632605758e+00,8.100000000000000000e+02
1.343423936265368823e+00,1.715000000000000000e+03
1.472398137168215992e+00,8.800000000000000000e+02
1.533066599966647070e+00,6.800000000000000000e+02
1.320031248474270447e+00,1.985000000000000000e+03
1.366278582502445271e+00,1.500000000000000000e+03
1.396711482062216625e+00,1.270000000000000000e+03
1.326863886044330032e+00,1.900000000000000000e+03
1.509293628469863924e+00,7.500000000000000000e+02
1.360555127546400511e+00,1.550000000000000000e+03
1.558283082315773171e+00,6.150000000000000000e+02
1.427691477586355173e+00,1.085000000000000000e+03
1.366878726556884249e+00,1.495000000000000000e+03
1.580155151662037794e+00,5.650000000000000000e+02
1.392300904918661431e+00,1.300000000000000000e+03
1.411728065596697723e+00,1.175000000000000000e+03
1.536730845023835279e+00,6.700000000000000000e+02
1.525946765366990254e+00,7.000000000000000000e+02
1.459020696701139652e+00,9.350000000000000000e+02
1.327719392163477119e+00,1.890000000000000000e+03
1.372907495231725505e+00,1.445000000000000000e+03
1.546223397521563570e+00,6.450000000000000000e+02
1.322397270459910512e+00,1.955000000000000000e+03
1.349370863123986464e+00,1.655000000000000000e+03
1.331963853453956625e+00,1.840000000000000000e+03
1.455565582545478076e+00,9.500000000000000000e+02
1.492666215606469393e+00,8.050000000000000000e+02
1.582477467375349223e+00,5.600000000000000000e+02
1.347361483184303710e+00,1.675000000000000000e+03
1.430534551458998216e+00,1.070000000000000000e+03
1.318873015477948663e+00,2.000000000000000000e+03
1.448909790492477478e+00,9.800000000000000000e+02
1.564606057353264967e+00,6.000000000000000000e+02
1.331119313843211582e+00,1.850000000000000000e+03
1.482887150377809826e+00,8.400000000000000000e+02
1.507700699231350194e+00,7.550000000000000000e+02
1.556219381179763994e+00,6.200000000000000000e+02
1.388741559393897873e+00,1.325000000000000000e+03
1.494105251945373691e+00,8.000000000000000000e+02
1.360000000000000986e+00,1.555000000000000000e+03
1.348338915425768780e+00,1.665000000000000000e+03
1.413400532171887658e+00,1.165000000000000000e+03
1.365704798984098245e+00,1.505000000000000000e+03
1.477556279405894069e+00,8.600000000000000000e+02
1.357239415518497694e+00,1.580000000000000000e+03
1.351937494450364374e+00,1.630000000000000000e+03
1.407602747782692676e+00,1.200000000000000000e+03
1.361109401705355548e+00,1.545000000000000000e+03
1.374779935428780409e+00,1.430000000000000000e+03
1.504579032461714982e+00,7.650000000000000000e+02
1.320437201335923794e+00,1.980000000000000000e+03
1.401272974420157968e+00,1.240000000000000000e+03
1.367450676962226996e+00,1.490000000000000000e+03
1.356174114724806756e+00,1.590000000000000000e+03
1.393013994661767896e+00,1.295000000000000000e+03
1.423060279392902583e+00,1.110000000000000000e+03
1.341994151996786178e+00,1.730000000000000000e+03
1.436394317103236284e+00,1.040000000000000000e+03
1.356707162810056211e+00,1.585000000000000000e+03
1.441474801092881952e+00,1.015000000000000000e+03
1.320811471116604352e+00,1.975000000000000000e+03
1.383901028912401854e+00,1.360000000000000000e+03
1.515751878329105296e+00,7.300000000000000000e+02
1.373523760957719997e+00,1.440000000000000000e+03
1.422161106687954479e+00,1.115000000000000000e+03
1.587196730236128062e+00,5.500000000000000000e+02
1.440454310910904479e+00,1.020000000000000000e+03
1.439431450854397054e+00,1.025000000000000000e+03
1.334185577187287253e+00,1.815000000000000000e+03
1.344876789593036914e+00,1.700000000000000000e+03
1.468636319548536573e+00,8.950000000000000000e+02
1.495560288965932516e+00,7.950000000000000000e+02
1.497031186144289983e+00,7.900000000000000000e+02
1.450000000000000178e+00,9.750000000000000000e+02
1.319656065170050407e+00,1.990000000000000000e+03
1.398973683342648267e+00,1.255000000000000000e+03
1.538590753726795546e+00,6.650000000000000000e+02
